workers,cost,rows,type,parallel,i_q,i_p,i_s,i_e,i_d,i_o_q,i_o_p,i_o_s,i_o_e,i_o_d,b_i_q,b_i_p,b_i_s,b_i_e,b_i_d,s_q,s_p,s_s,s_e,s_d,o_q,o_p,o_s,o_e,o_d,v_i_q,v_i_p,v_i_s,v_i_e,v_i_d,v_f_q,v_f_p,v_f_s,v_f_e,v_f_d,forced_parallel,query,batch,selectivity,latency
0,1272197.08,417525,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0.04,0,0,0,0,0,0,4,3-1,0.00727362420850767,9200.563
0,1288559.12,522985,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.05,0,4,3-1,0.00910306615944653,7525.740
0,1288849.78,628678,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.06,0,4,3-1,0.0109216055759095,7585.658
0,1289141.39,734720,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07,0,4,3-1,0.012740711790801,7567.925
0,1289437.18,842278,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.08,0,4,3-1,0.0145593845716001,7566.043
0,1289727.83,947971,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.09,0,4,3-1,0.0163651376823399,7604.498
0,1290026.71,1056655,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.10,0,4,3-1,0.0181899952342254,7581.106
0,1290326.67,1165729,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.11,0,4,3-1,0.0200017664106316,7591.109
0,1290326.67,1165729,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.12,0,4,3-1,0.0200017664106316,7586.975
0,1290326.67,1165729,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.13,0,4,3-1,0.0200017664106316,7562.258
0,1290326.67,1165729,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.14,0,4,3-1,0.0200017664106316,7612.220
0,1290326.67,1165729,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.15,0,4,3-1,0.0200017664106316,7586.323
0,430672.44,102623,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0.01,0,0,0,0,0,0,5,3-1,0.00182125671481097,8120.830
0,693864.49,213167,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0.01,0,0,0,0,0,0,5,3-1,0.0036343948756621,11235.830
0,895463.29,321951,bitmap,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0.01,0,0,0,0,0,0,5,3-1,0.0054490333852943,12321.402
